201205,0.06
201206,0.30
201207,0.06
201208,0.01
201209,0.01
201210,0.83
201211,6.55
201212,11.15
201301,1.01
201302,0.56
201303,1.49
201304,0.94
201305,0.03
201306,0.09
201307,0.03
201308,0.01
201309,0.30
201310,0.11
201311,0.89
201312,0.61
201401,0.08
201402,7.44
201403,3.71
201404,1.66
201405,0.05
201406,0.01
201407,0.08
201408,0.01
201409,0.75
201410,0.83
201411,3.91
201412,14.98
201501,0.00
201502,3.65
201503,0.52
201504,1.85
201505,0.29
201506,0.06
201507,0.06
201508,0.06
201509,0.02
201510,0.10
201511,3.77
201512,6.64
201601,11.48
201602,1.16
201603,10.33
201604,1.68
201605,0.25
201606,0.00
201607,0.02
201608,0.03
201609,0.01
201610,5.40
201611,3.05
201612,7.03
201701,19.27
201702,14.61
201703,5.03
201704,4.06
201705,0.05
201706,0.09
201707,0.00
201708,0.01
201709,0.09
201710,0.21
201711,4.05
201712,0.16
201801,6.08
201802,0.36
201803,8.63
201804,3.17
201805,0.08
201806,0.02
201807,0.02
201808,0.00
201809,0.00
201810,0.08
201811,5.08
201812,3.81
201901,8.87
201902,12.83
201903,7.73
201904,0.87
201905,3.52
201906,0.05
201907,0.05
201908,0.02
201909,0.11
201910,0.00
201911,2.14
201912,10.05
202001,2.78
202002,0.02
202003,3.49
202004,3.02
202005,0.99
202006,0.02
202007,0.02
202008,0.05
202009,0.00
202010,0.00
202011,1.45
202012,2.67
202101,7.42
202102,1.46
